address,property_type,beds,baths,price
"1 Limeworth, Ballincollig, Co. Cork", Detached House,4,4,"875,000"
"36 Parknamore, Ballincollig, Co. Cork", Semi-Detached House,4,4,"335,000"
"92 The Green, Coolroe Meadows, Ballincollig, Co. Cork", Semi-Detached House,4,3,"350,000"
"72 Old Court, Greenfields, Killumney Road, Ballincollig, Co. Cork", Semi-Detached House,4,3,"360,000"
"20 Granary Court, The Maltings, Ballincollig, Co. Cork",Apartment for sale,2,1,"220,000"
"Rowan House, Poulavone, Ballincollig, Co. Cork", Detached House,5,2,"480,000"
"35 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork", End of Terrace House,4,3,"330,000"
"17 Tara, An Caislean, Ballincollig, Co. Cork",Apartment for sale,2,2,"220,000"
"Rea P12 VE06, Berrings, Ballincollig, Co. Cork",Bungalow for sale,4,2,"340,000"
"148 Leslies Arch, Old Quarter, Ballincollig, Co. Cork", End of Terrace House,3,3,"295,000"
"2 The Cloisters, Ballincollig, Co. Cork", Semi-Detached House,3,2,"275,000"
"30 The Heathers, Classes Lake, Ballincollig, Co. Cork", Semi-Detached House,3,2,"295,000"
"163 Willowcourt, Ballincollig, Co. Cork", Semi-Detached House,3,1,"235,000"
"69 Beech Park, Ballincollig, Co. Cork", Semi-Detached House,6,2,"245,000"
"21 Parknamore Rise, Ballincollig, Co. Cork", Detached House,3,2,"270,000"
"3 The Avenue, Highfield Park, Ballincollig, Co. Cork",Apartment for sale,3,3,"285,000"
"12 The Heathers, Classes Lake, Ballincollig, Co. Cork", Semi-Detached House,3,2,"310,000"
"Site 2, Tuairin Glas, Greenfields, Ballincollig, Co. Cork",0.31 Acre Site,,,"225,000"
"Site 1,Tuairin Glas, Greenfields, Ballincollig, Co. Cork",0.36 Acre Site,,,"225,000"
"4 Aylsbury Lawn, Ballincollig, Co. Cork", Detached House,5,3,"385,000"
"102 The Cloisters, Ballincollig, Co. Cork", Semi-Detached House,3,2,"280,000"
"77 An Caislean Drive, Ballincollig, Co. Cork", Semi-Detached House,3,3,"260,000"
"11 Glincool Grove, Glincool, Ballincollig, Co. Cork", Detached House,4,3,"310,000"
"12 Glincool Gardens, Ballincollig, Co. Cork", Detached House,3,2,"325,000"
"35 Manor Hill, Ballincollig, Co. Cork", Semi-Detached House,3,1,"220,000"
"Dunvara, Coolatubrid, Carrigrohane, Ballincollig, Co. Cork",Bungalow for sale,3,2,"285,000"
"208 The Willows, Ballincollig, Co. Cork", Semi-Detached House,3,1,"250,000"
"16 Newgrange, An Caislean, Ballincollig, Co. Cork",Apartment for sale,2,2,"225,000"
"105 Cedardale, Ballincollig, Co. Cork", Detached House,4,1,"265,000"
"52 The Crescent, Old Fort Road, Ballincollig, Co. Cork",Apartment for sale,2,2,"260,000"
"1 Elm Walk, Classes Lake, Ballincollig, Co. Cork", Detached House,5,4,"460,000"
"2 Fernway, Classes Lake, Ballincollig, Co. Cork",Duplex for sale,3,3,"255,000"
"Moneen, Kilnaglory, Ballincollig, Co. Cork", Detached House,4,4,"670,000"
"28 Waltham Abbey, Old Quarter, Ballincollig, Co. Cork", Semi-Detached House,3,3,"365,000"
"30 Wyndham Downs, Ballincollig, Co. Cork",Bungalow for sale,3,2,"325,000"
"4 Shalamir Court, Ballincollig, Co. Cork",Duplex for sale,3,3,"249,500"
"23 Parknamore Rise, Ballincollig, Co. Cork", Semi-Detached House,3,1,"270,000"
"8 Rosewood, Ballincollig, Co. Cork", Semi-Detached House,3,2,"320,000"
"59 Castle Avenue Muskerry Estate, Ballincollig, Co. Cork", Semi-Detached House,4,2,"280,000"
"200 The Willows, Ballincollig, Co. Cork", Semi-Detached House,3,1,"250,000"
"168 Caislean View, Ballincollig, Co. Cork", Semi-Detached House,3,3,"265,000"
"1 Tara, An Caislean, Ballincollig, Co. Cork",Apartment for sale,2,2,"220,000"
,,,,
,,,,
"4 Old Quarry, Coolroe, Ballincollig, Co. Cork",Apartment for sale,2,2,"225,000"
"44 Daffodil Fields, Ballincollig, Co. Cork", Semi-Detached House,4,3,"365,000"
"33 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork", Terraced House,3,0,"265,000"
"25 The Close, Coolroe Meadows, Ballincollig, Co. Cork", Semi-Detached House,4,0,"350,000"
"4 Carriganarra, Ballincollig, Co. Cork",Bungalow for sale,4,1,"350,000"
"98 Beech Park, Ballincollig, Co. Cork", Semi-Detached House,3,1,"220,000"
"Fernway, Classes Lake, Ballincollig, Co. Cork",Duplex for sale,4,3,"255,000"
"Baker Street, Ballincollig, Co. Cork",0.3 Acre Site,,,rice On Application
"5 Old Court, Greenfields, Ballincollig, Co. Cork", Detached House,4,3,"440,000"
"Bride Park Cottage, Killumney, Ovens, Ballincollig, Co. Cork", Detached House,4,3,rice On Application
,,,,
,,,,
"Bakers Street, Ballincollig, Co. Cork",0.1 Acre Site,,,"100,000"
"Innis Moy, Castle Road, Ballincollig, Co. Cork", Detached House,3,0,"295,000"
